Título,Data,Fonte,Link,Classificação de Relevância,Resumo,Possível Impacto para a CloudWalk
PL 2929/2026 declara o Pix e a infraestrutura pública de pagamentos como estratégicos,2026-06-09,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2630402,Alta,"Projeto declara o Pix infraestrutura estratégica nacional, podendo elevar exigências regulatórias sobre operadores do arranjo.",Mudança no status jurídico do Pix afeta diretamente regras que a CloudWalk precisa seguir como participante.
PL 3323/2026 veda uso de cartão de crédito e Pix parcelado para apostas de quota fixa,2026-06-26,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3153870,Alta,"Proíbe uso de crédito, Pix parcelado e adiantamentos para pagar apostas esportivas, restringindo produtos oferecidos por IPs.","Altera regras de uso do Pix e do crédito, exigindo ajuste de produtos e controles da CloudWalk para o setor de apostas."
PL 3127/2026 institui ressarcimento garantido a vítimas de fraude no Pix,2026-06-16,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3147140,Alta,"Cria repartição obrigatória de perdas entre instituições participantes em fraudes de pagamento instantâneo, incluindo telecom e big techs.",Nova regra de responsabilidade e ressarcimento em fraudes no Pix impacta diretamente exposição financeira e compliance da CloudWalk.
PL 2917/2026 institui o Marco Legal da Soberania Financeira Digital Brasileira,2026-06-08,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2630308,Alta,Propõe marco legal amplo para proteção de infraestruturas estratégicas de pagamento e soberania de dados financeiros.,Marco legal amplo pode redefinir obrigações de segurança e soberania de dados para IPs como a CloudWalk.
"Resolução CMN Nº 5.330, de 23 de julho de 2026",2026-07-24,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/resolucao-cmn-n-5.330-de-23-de-julho-de-2026-721097913,Média,"Novo normativo do CMN publicado no DOU, com potencial impacto em regras do Sistema Financeiro Nacional.",Norma recém-publicada exige leitura do compliance para verificar aplicabilidade à CloudWalk como SCFI.
"Resolução CMN Nº 5.331, de 23 de julho de 2026",2026-07-24,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/resolucao-cmn-n-5.331-de-23-de-julho-de-2026-721078271,Média,"Segunda resolução do CMN publicada na mesma data, possivelmente complementar à anterior.",Publicação simultânea sugere pacote normativo do CMN que pode afetar instituições reguladas como a CloudWalk.
"Instrução Normativa BCB Nº 765, de 21 de julho de 2026",2026-07-24,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/instrucao-normativa-bcb-n-765-de-21-de-julho-de-2026,Média,"Nova instrução normativa do Banco Central publicada, com regras operacionais ainda a serem avaliadas.",Instruções normativas do BCB costumam alterar procedimentos operacionais que afetam IPs supervisionadas.
"Instrução Normativa BCB Nº 764, de 20 de julho de 2026",2026-07-23,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/instrucao-normativa-bcb-n-764-de-20-de-julho-de-2026,Média,"Instrução normativa adicional do BCB publicada em sequência, reforçando atividade regulatória recente.",Acompanhar detalhamento é necessário para confirmar impacto direto em obrigações da CloudWalk.
MPV 1355/2026 institui o Novo Desenrola Brasil,2026-05-04,Câmara dos Deputados (Poder Executivo),https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3124365,Média,"Programa de reequilíbrio financeiro das famílias altera regras de crédito consignado e garantias, sob regime de urgência.",Programa de renegociação de dívidas influencia tendências de consumo de crédito relevantes para produtos da CloudWalk.
PL 3674/2026 propõe suspensão cautelar de descontos em crédito consignado,2026-07-14,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2639344,Média,Permite suspender cautelarmente descontos de empréstimos consignados e cartões em folha de pagamento.,Alteração legislativa em crédito consignado pode afetar operações de parceiros e produtos de crédito da CloudWalk.
PL 4924/2025 regula transparência e publicidade do crédito consignado,2025-10-01,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2566779,Média,Estabelece limites à publicidade e regras de transparência na oferta de crédito consignado a consumidores.,Novas regras de transparência em crédito impactam divulgação e oferta de produtos de crédito da CloudWalk.
PL 1914/2026 trata de portabilidade e refinanciamento de cartão de crédito consignado,2026-04-22,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2617510,Média,"Regula portabilidade e refinanciamento de RMC/RCC consignado, alterando dinâmica competitiva do crédito consignado.",Mudanças na portabilidade de crédito consignado alteram tendências de consumo relevantes para o setor de crédito.
